,Genetic Feature,feature_pval,ic50_effect_size,feature_delta_mean_ic50,msi_pval,fdr,log_ic50_mean_pos
375,cnaPANCAN108,0.22167137132038028,0.43986425812406416,0.7825420174654667,0.0033066441100609,35.88205650869466,5.183068718595764
376,cnaPANCAN109,0.3566513402576188,0.42113520754519584,0.7501713078220238,0.00331739011483814,46.385289917898405,5.160898728273144
377,cnaPANCAN110,0.9878567847411338,0.07408075331769255,0.1321182696164671,0.00333160975462223,65.95482984176712,4.550032431031177
378,cnaPANCAN111,0.3712176786709693,0.2910965505953055,0.5188097764339377,0.00331822687886366,47.673160117522016,4.931280857102809
379,cnaPANCAN112,0.8770190423221564,0.2388753454664108,0.42571981876455656,0.00333121207826754,63.10044762455716,4.835419221809318
380,cnaPANCAN113,0.9618072370542184,0.02724907110767535,-0.04859968193120156,0.00333157518636724,65.31157161951084,4.375629895794456
381,cnaPANCAN114,0.8270860207792745,0.2994575067119189,-0.5338087225192978,0.00333081354810936,61.72283737158766,3.894440048169895
382,cnaPANCAN115,0.5524753698182343,0.14583101818341487,0.2600684848936474,0.00332569995701024,55.361497857383675,4.678714708428371
383,cnaPANCAN116,0.07223173270859312,0.21893587986269863,0.3902508448858937,0.00327777664915324,22.286467836950365,4.801751454132205
384,cnaPANCAN117,0.01787043279692025,0.2792345918954033,0.4958400509894352,0.00323862214169954,10.625239480156926,4.852708975984429
385,cnaPANCAN118,0.2915100564695417,0.17246985029384443,0.30740829390582025,0.00331299757854025,42.26868009896811,4.714683926878957
386,cnaPANCAN119,0.48287996454764787,0.04047912661993095,-0.07219548024811928,0.00332336546764497,52.96319589929068,4.3517344875576125
387,cnaPANCAN120,0.9502386852560685,0.00478829973202688,0.00854024196432767,0.00333154832916572,65.08484145589513,4.427274729432132
388,cnaPANCAN121,0.03228069748979235,0.40541340390158914,0.7176143564621871,0.00325546249694111,14.103217349909285,5.06486090920687
389,cnaPANCAN122,0.1779303648274886,0.40052507586293,0.7104324662204825,0.00330129206722215,33.249476760859,5.079036840808008
390,cnaPANCAN123,0.23869773710978412,0.3729715105646416,0.6627846205081127,0.00330839878387032,37.58202857410652,5.0473068894587865
391,cnaPANCAN124,0.4733591980313168,0.3637495509963364,0.6448138999267954,0.0033230011184157,52.96319589929068,4.999604541431624
392,cnaPANCAN125,0.5987121723409607,0.2259583370254286,0.40261309995162087,0.00332697210585158,55.369826062710125,4.8079524244559995
