,Drug Name,Cell Line Name,TCGA Classification,Tissue,IC50,AUC,Z score
99,Nutlin-3a (-),HCC2218,BRCA,breast,5.002522907783068,0.9881516430037213,0.3280930562628503
100,Nutlin-3a (-),HCC38,BRCA,breast,6.432370599989763,0.9858674766774868,1.1282292719103637
101,Nutlin-3a (-),BB30-HNC,HNSC,aero_digestive_tract,3.889319664052153,0.9738257464750952,-0.29485037718127016
102,Nutlin-3a (-),BB49-HNC,HNSC,aero_digestive_tract,2.4179210173760675,0.8612514663551442,-1.1182383165241727
103,Nutlin-3a (-),BB65-RCC,KIRC,kidney,5.477129558368161,0.9865942493347027,0.5936807628347492
104,Nutlin-3a (-),BEN,UNCLASSIFIED,lung,5.473975729775481,0.9646132849355357,0.5919158948081037
105,Nutlin-3a (-),BHY,HNSC,aero_digestive_tract,5.13431937500488,0.9728296991593529,0.4018457553043981
106,Nutlin-3a (-),Ca9-22,HNSC,aero_digestive_tract,5.170973672574411,0.981592327006454,0.4223573322397288
107,Nutlin-3a (-),CADO-ES1,UNCLASSIFIED,bone,1.2069980986208604,0.8018820484616574,-1.7958652322681263
108,Nutlin-3a (-),CAL-12T,UNCLASSIFIED,lung,4.148051415466969,0.956460561609477,-0.15006527484256776
109,Nutlin-3a (-),CAL-33,HNSC,aero_digestive_tract,4.623977670167484,0.9738778809306456,0.11626087614464972
110,Nutlin-3a (-),CP50-MEL-B,SKCM,skin,1.7898762400981574,0.8388977351536061,-1.4696892955950889
111,Nutlin-3a (-),CP66-MEL,SKCM,skin,6.3546630340375545,0.9826076123259256,1.0847444741329009
112,Nutlin-3a (-),CPC-N,SCLC,lung,4.073272437947549,0.9702780053013593,-0.19191124795459769
113,Nutlin-3a (-),CTV-1,LAML,blood,1.5453496430867246,0.8628806023298232,-1.6065252586310796
114,Nutlin-3a (-),D-542MG,GBM,nervous_system,5.5880463913131,0.9692560274751042,0.6557493142251453
115,Nutlin-3a (-),DMS-79,SCLC,lung,5.262638073624434,0.9891767219241533,0.4736523109745396
116,Nutlin-3a (-),DSH1,BLCA,urogenital_system,6.356844504526868,0.9874074425117869,1.0859652150211645
117,Nutlin-3a (-),EBC-1,LUSC,lung,5.284317677862364,0.9725426937277525,0.4857841181496817
118,Nutlin-3a (-),EC-GI-10,ESCA,aero_digestive_tract,4.786737063868139,0.9765608432841022,0.2073402869424117
119,Nutlin-3a (-),EPLC-272H,LUSC,lung,5.7093450575385685,0.9810834390335776,0.7236274919399691
120,Nutlin-3a (-),HA7-RCC,KIRC,kidney,3.0949878677983733,0.904834339159496,-0.7393548099870505
121,Nutlin-3a (-),HCE-4,ESCA,aero_digestive_tract,4.576269484904745,0.9819800711269993,0.08956359431554381
122,Nutlin-3a (-),HO-1-u-1,HNSC,aero_digestive_tract,4.883603295364296,0.9740173410640413,0.26154618615518377
123,Nutlin-3a (-),HSC-2,HNSC,aero_digestive_tract,5.119853631129609,0.9864384453802133,0.393750791327485
124,Nutlin-3a (-),IM-9,MM,blood,0.00353696532420053,0.67035503554989,-2.4693165670664188
125,Nutlin-3a (-),IST-SL1,SCLC,lung,3.790655594531394,0.9806103411737626,-0.3500623383132195
